id,artists,name,born_or_started,age_at_release,release_date,popularity,duration_ms,danceability,energy,explicit,instrumentalness,key,mode,liveness,loudness,acousticness,speechiness,tempo,valence,year,num_duplicates
1DF9XPespiTUJKh5MRRStG,La Lupe,Fever,1936-12-23,31,1967-12-31,43,165213,0.506,0.547,0,1.66e-05,0,0,0.099,-6.395,0.595,0.0527,98.837,0.7440000000000001,1967,1
1DFC5WDlrdZoFsECRTq8T1,Jill Scott,My Petition,1972-04-04,35,2008-02-05,48,358827,0.498,0.331,0,0.0,9,1,0.628,-8.611,0.765,0.0493,121.03,0.161,2008,1
1DFhvVDtjrcWEzzkqjKPAf,Johnny Tillotson,Take Good Care Of Her,1938-04-20,23,1962-01-01,25,149960,0.493,0.321,0,0.0,11,1,0.322,-9.646,0.8009999999999999,0.0265,102.34299999999999,0.444,1962,1
1DGFY32byCpsiTSTAQI3RW,Elvis Presley,Love Letters,1935-01-08,33,1968-01-22,34,170800,0.467,0.111,0,0.0203,5,1,0.107,-19.621,0.833,0.0427,116.083,0.149,1968,1
1DHV4JhMnCkbLuf6Psg93N,Adele,First Love,1988-05-05,19,2008-01-28,50,190280,0.562,0.11,0,0.00514,5,1,0.0894,-13.464,0.985,0.0363,162.548,0.358,2008,1
1DIXIVfqOGukO3Tw962EEb,Jean-Louis Barrault,Elevation,1910-09-08,43,1954-01-01,0,83867,0.667,0.0968,0,0.0,0,1,0.121,-22.6,0.963,0.484,125.321,0.4320000000000001,1954,1
1DIhGrVGZamMWrsV0U3maT,James Last,Games That Lovers Play,1929-04-17,37,1967-01-01,35,151973,0.532,0.373,0,0.779,9,1,0.133,-16.099,0.0424,0.0282,112.16,0.5589999999999999,1967,1
1DIhHPFIi6d4h0kQ90yNZn,Fida Hussain,Janab-E-Nase Samajhte Hai Ham,1988-06-10,-46,1941-12-31,0,212714,0.501,0.12,0,0.321,5,1,0.113,-11.453,0.9940000000000001,0.31,77.267,0.5329999999999999,1941,1
1DIsKtB72H5rI9kX4ISYDv,Herb Alpert & The Tijuana Brass,Tijuana Sauerkraut,1935-03-31,27,1962-12-01,17,167227,0.614,0.38799999999999996,0,0.789,3,1,0.37799999999999995,-10.319,0.657,0.034,151.571,0.905,1962,1
1DJ7sGOjJmJMKpq7Y3bIki,Wet Wet Wet,"Love Is All Around - From ""Four Weddings And A Funeral""",1970-02-15,33,2004-01-01,49,237760,0.4370000000000001,0.665,0,0.0,10,1,0.198,-8.389,0.276,0.0312,169.90099999999995,0.5579999999999999,2004,1
1DJskN6CRiPeYoxhLgbc1u,Claudio Villa,Spazzacamino,1926-01-01,16,1942-11-13,1,220343,0.376,0.209,0,0.0035399999999999997,4,1,0.129,-14.527999999999999,0.9790000000000001,0.0357,62.843999999999994,0.36200000000000004,1942,1
1DJxR9NMQ14fv1WK0pHodt,Shakira,Sale el Sol,1977-02-02,33,2010-10-19,59,200133,0.698,0.6859999999999999,0,0.0,0,1,0.10300000000000001,-5.925,0.155,0.0293,119.006,0.257,2010,1
1DKYtHoBNbqjMLqvpw7o73,Sade,In Another Time,1966-12-27,43,2010-02-08,50,304413,0.621,0.38,0,0.0227,5,1,0.10800000000000001,-9.318,0.5710000000000001,0.0292,147.696,0.223,2010,1
1DMuD0CaT8fJxx5pIbRJzP,Francisco Canaro,Pero Hay Una Melena - Remasterizado,1888-11-26,35,1924-07-12,0,172333,0.628,0.40299999999999997,0,0.898,2,1,0.693,-13.157,0.996,0.0352,77.773,0.9490000000000001,1924,1
1DNDLJCWn2sER53dfQhtHj,Echo & the Bunnymen,Villiers Terrace,1961-08-26,18,1980-07-18,25,192467,0.37799999999999995,0.878,0,0.0,0,1,0.111,-7.739,0.00125,0.0356,143.72299999999996,0.752,1980,1
1DNdKdWPgG7FavYJMfBII6,Tommy Guerrero,Soul Miner,1966-09-09,30,1997-03-01,40,177933,0.773,0.598,0,0.721,11,0,0.0924,-8.283999999999999,0.677,0.031,100.113,0.799,1997,1
1DOrU7q0qfjz7BxE4d3e26,Danny Kaye,One Life to Live,1911-01-18,29,1941-01-01,1,168067,0.773,0.166,0,0.0,3,1,0.102,-15.439,0.879,0.442,133.299,0.55,1941,1
1DOsiIlTUDv6k0txBIwEgm,Renato Rascel,E' Tutta Colpa Della Primavera,1912-04-27,40,1953-01-01,10,166200,0.612,0.204,0,4.32e-06,10,1,0.355,-13.559000000000001,0.9790000000000001,0.0652,130.843,0.535,1953,1
1DPKXco1PuFswTCHLiTQJI,The Who,A Legal Matter - Stereo Version,1950-06-15,15,1965-12-03,29,169732,0.535,0.861,0,0.000341,9,1,0.418,-8.182,0.0389,0.0266,104.329,0.833,1965,1
1DPu4VZvRagYKnkDtn4FbU,Dar Williams,"Iowa (Traveling, Pt. 3)",1967-04-19,28,1996-01-23,37,287933,0.386,0.247,0,3.24e-06,10,1,0.135,-11.925999999999998,0.8240000000000001,0.0312,84.258,0.391,1996,1
1DPy2UtzfVPL7T1xSoTC17,The Mamas & The Papas,Words Of Love - Single Version,1942-05-18,24,1966-08-30,40,135893,0.444,0.7040000000000001,0,0.0,10,0,0.235,-6.678999999999999,0.6,0.0453,115.94200000000001,0.595,1966,1
1DQDQiI6cJ6gTssyIPHAH6,Aretha Franklin,Dark End of the Street,1942-03-25,27,1970-01-15,26,282093,0.387,0.37799999999999995,0,0.00048300000000000003,1,1,0.159,-11.714,0.569,0.0343,120.935,0.33299999999999996,1970,1
1DRUADzxXobWbKTPhkYnQo,Jim & Jesse,Ballad of Thunder Road,1929-07-09,30,1960-01-01,29,156600,0.654,0.551,0,0.0,5,1,0.812,-10.2,0.579,0.0325,138.15,0.965,1960,1
1DRVyJdPuRIW83AaY3YXIn,Hayley Mills,Jeepers Creepers,1946-04-18,15,1962-01-01,8,97500,0.408,0.446,0,0.0,6,1,0.517,-10.91,0.871,0.0517,175.92,0.8590000000000001,1962,1
1DRjahCWmGZEG3MAHn1EJj,Frank Sinatra,If I Had You - Remastered,1915-12-12,41,1957-06-01,26,156760,0.46799999999999997,0.249,0,0.0,10,0,0.154,-13.425999999999998,0.429,0.0516,115.876,0.528,1957,1
1DRrQx0XCOuDCIyvEbVPoG,President Franklin Delano Roosevelt,"Fireside Chat #20 - On the Progress of the War (February 23, 1942)",1882-01-30,67,1950-01-01,0,2191726,0.696,0.209,0,0.0017,10,0,0.07200000000000001,-14.603,0.9790000000000001,0.72,80.763,0.496,1950,1
1DSJNBNhGZCigg9ll5VeZv,Britney Spears,(You Drive Me) Crazy,1981-12-02,17,1999-01-12,61,198067,0.748,0.9390000000000001,0,0.0,0,0,0.32,-4.288,0.0534,0.0341,104.001,0.96,1999,1
1DSKhppU72uC6c6QxsMvU9,Helen Forrest,"If You Love Me, Really Love Me (Hymne a l'amour)",1917-04-12,37,1954-06-01,1,158082,0.376,0.125,0,0.0,3,1,0.321,-12.356,0.966,0.0348,130.536,0.21600000000000005,1954,1
